Neuron_ID,Database,Tau
0,DS01-OGB1-m-V1,205.30015763524966
1,DS01-OGB1-m-V1,183.71884967789768
2,DS01-OGB1-m-V1,1498.2155437302695
3,DS01-OGB1-m-V1,179.34846333611378
4,DS01-OGB1-m-V1,107.7487658367696
5,DS01-OGB1-m-V1,143.15992156095976
6,DS01-OGB1-m-V1,225.37384432512079
7,DS01-OGB1-m-V1,183.03684931222867
8,DS01-OGB1-m-V1,490.8869976420477
9,DS01-OGB1-m-V1,398.1623722847798
10,DS01-OGB1-m-V1,238.934413510365
11,DS01-OGB1-m-V1,155.68450731866193
12,DS01-OGB1-m-V1,209.49497957301298
13,DS01-OGB1-m-V1,123.1846978674028
14,DS01-OGB1-m-V1,127.44095827768368
15,DS01-OGB1-m-V1,290.49055956948354
16,DS01-OGB1-m-V1,596.3306190586001
17,DS01-OGB1-m-V1,107.61935630501254
18,DS01-OGB1-m-V1,440.5344250844673
19,DS01-OGB1-m-V1,171.62833879587205
20,DS02-OGB1-2-m-V1,364.26184729310927
21,DS04-OGB1-zf-pDp,117.98551095695125
22,DS04-OGB1-zf-pDp,236.70581283324128
23,DS04-OGB1-zf-pDp,186.46305419737823
24,DS04-OGB1-zf-pDp,260.30004224123076
25,DS04-OGB1-zf-pDp,217.61116530877763
26,DS04-OGB1-zf-pDp,302.30104559001177
27,DS04-OGB1-zf-pDp,209.64560481075787
28,DS04-OGB1-zf-pDp,203.9773372499276
29,DS04-OGB1-zf-pDp,124.64905817847199
30,DS04-OGB1-zf-pDp,184.18034103648975
31,DS05-Cal520-zf-pDp,195.65267678046555
32,DS05-Cal520-zf-pDp,250.20216118841356
33,DS05-Cal520-zf-pDp,325.325797878001
34,DS05-Cal520-zf-pDp,161.7807796193759
35,DS06-GCaMP6f-zf-aDp,552.2179740597758
36,DS06-GCaMP6f-zf-aDp,681.3035653455742
37,DS06-GCaMP6f-zf-aDp,412.9603584389993
38,DS06-GCaMP6f-zf-aDp,236.49088132638715
39,DS06-GCaMP6f-zf-aDp,301.0672866473551
40,DS06-GCaMP6f-zf-aDp,290.6462301140329
41,DS06-GCaMP6f-zf-aDp,376.0858178050051
42,DS06-GCaMP6f-zf-aDp,184.33721289735078
43,DS06-GCaMP6f-zf-aDp,462.86476906149636
44,DS06-GCaMP6f-zf-aDp,441.935518613773
45,DS06-GCaMP6f-zf-aDp,314.8835537816988
46,DS06-GCaMP6f-zf-aDp,386.38426562263766
47,DS06-GCaMP6f-zf-aDp,261.00679215271543
48,DS06-GCaMP6f-zf-aDp,479.02902997302573
49,DS06-GCaMP6f-zf-aDp,556.2345528965503
50,DS06-GCaMP6f-zf-aDp,986.5885571715387
51,DS06-GCaMP6f-zf-aDp,581.7140069406265
52,DS06-GCaMP6f-zf-aDp,474.2617377432454
53,DS06-GCaMP6f-zf-aDp,330.71575853854654
54,DS06-GCaMP6f-zf-aDp,395.1688421561065
55,DS06-GCaMP6f-zf-aDp,321.53654386027017
56,DS06-GCaMP6f-zf-aDp,495.49165046525593
57,DS06-GCaMP6f-zf-aDp,563.046995024384
58,DS07-GCaMP6f-zf-dD,910.9739402832378
59,DS07-GCaMP6f-zf-dD,602.6379447662611
60,DS07-GCaMP6f-zf-dD,1376.6682326895905
61,DS07-GCaMP6f-zf-dD,588.0347528821294
62,DS07-GCaMP6f-zf-dD,632.013226030348
63,DS07-GCaMP6f-zf-dD,
64,DS07-GCaMP6f-zf-dD,2570.7443512264417
65,DS07-GCaMP6f-zf-dD,520.8925156989097
66,DS07-GCaMP6f-zf-dD,238.6118385011986
67,DS07-GCaMP6f-zf-dD,1422.4275250915466
68,DS07-GCaMP6f-zf-dD,2817.0324798059487
69,DS07-GCaMP6f-zf-dD,93.63830535358541
70,DS07-GCaMP6f-zf-dD,117.46393671718724
71,DS07-GCaMP6f-zf-dD,309.265039798052
72,DS07-GCaMP6f-zf-dD,381.0912938042475
73,DS07-GCaMP6f-zf-dD,172.6534428264482
74,DS07-GCaMP6f-zf-dD,494.00110249122883
75,DS07-GCaMP6f-zf-dD,207.01990196764817
76,DS07-GCaMP6f-zf-dD,425.73120151665034
77,DS07-GCaMP6f-zf-dD,276.48098178491625
78,DS07-GCaMP6f-zf-dD,338.687199264935
79,DS07-GCaMP6f-zf-dD,961.037526771037
80,DS07-GCaMP6f-zf-dD,313.2683835123127
81,DS08-GCaMP6f-zf-OB,199.62074382298172
82,DS08-GCaMP6f-zf-OB,81.76240002172894
83,DS08-GCaMP6f-zf-OB,73.6923204763079
84,DS08-GCaMP6f-zf-OB,102.07408026071909
85,DS08-GCaMP6f-zf-OB,97.65624720260774
86,DS08-GCaMP6f-zf-OB,116.9888549359455
87,DS08-GCaMP6f-zf-OB,63.587556335166724
88,DS08-GCaMP6f-zf-OB,95.69713473211904
89,DS08-GCaMP6f-zf-OB,77.49025314815889
90,DS08-GCaMP6f-zf-OB,59.92497436768865
91,DS08-GCaMP6f-zf-OB,85.2206823005839
92,DS08-GCaMP6f-zf-OB,95.03571892694745
93,DS08-GCaMP6f-zf-OB,102.61721696948557
94,DS08-GCaMP6f-zf-OB,98.05285894190293
95,DS08-GCaMP6f-zf-OB,391.8477117431524
96,DS08-GCaMP6f-zf-OB,111.11897969017129
97,DS08-GCaMP6f-zf-OB,130.68827275662642
98,DS08-GCaMP6f-zf-OB,117.34529338317262
99,DS08-GCaMP6f-zf-OB,113.04400123993933
100,DS08-GCaMP6f-zf-OB,99.94307527811864
101,DS08-GCaMP6f-zf-OB,72.76853822055145
102,DS08-GCaMP6f-zf-OB,124.81557302376177
103,DS09-GCaMP6f-m-V1,37.794825186373615
104,DS09-GCaMP6f-m-V1,53.19489372829173
105,DS09-GCaMP6f-m-V1,49.968458498244956
106,DS09-GCaMP6f-m-V1,61.73819091485416
107,DS09-GCaMP6f-m-V1,47.065770833648216
108,DS09-GCaMP6f-m-V1,63.82549401597679
109,DS09-GCaMP6f-m-V1,74.34458324133503
110,DS09-GCaMP6f-m-V1,74.83308188326896
